time,Channel A Last (V),Channel B Last (V)
1681199929,1.036,0.126
1681199929,1.037,0.113
1681199929,1.04,0.119
1681199929,1.035,0.122
1681199929,1.038,0.12
1681199929,1.039,0.124
1681199929,1.038,0.132
1681199929,1.037,0.115
1681199929,1.038,0.129
1681199929,1.039,0.12
1681199929,1.036,0.112
1681199929,1.038,0.126
1681199929,1.036,0.12
1681199929,1.037,0.126
1681199929,1.036,0.116
1681199929,1.04,0.121
1681199929,1.038,0.116
1681199929,1.036,0.123
1681199929,1.037,0.116
1681199929,1.038,0.119
1681199930,1.037,0.121
1681199930,1.038,0.119
1681199930,1.035,0.131
1681199930,1.036,0.117
1681199930,1.038,0.129
1681199930,1.036,0.124
1681199930,1.035,0.113
1681199930,1.036,0.123
1681199930,1.039,0.122
1681199930,1.037,0.116
1681199930,1.038,0.123
1681199930,1.037,0.122
1681199930,1.038,0.125
1681199930,1.039,0.123
1681199930,1.038,0.119
1681199930,1.038,0.123
1681199930,1.037,0.114
1681199930,1.034,0.122
1681199930,1.037,0.12
1681199930,1.038,0.121
1681199931,1.037,0.128
1681199931,1.037,0.129
1681199931,1.038,0.116
1681199931,1.039,0.115
1681199931,1.04,0.122
1681199931,1.038,0.113
1681199931,1.036,0.118
1681199931,1.027,0.071
1681199931,1.038,0.118
1681199931,1.035,0.119
1681199931,1.037,0.112
1681199931,1.035,0.122
1681199931,1.039,0.125
1681199931,1.037,0.121
1681199931,1.039,0.124
1681199931,1.039,0.12
1681199931,1.036,0.128
1681199931,1.039,0.112
1681199931,1.037,0.127
1681199931,1.037,0.128
1681199932,1.039,0.121
1681199932,1.037,0.121
1681199932,1.037,0.119
1681199932,1.036,0.126
1681199932,1.037,0.121
1681199932,1.035,0.125
1681199932,1.04,0.126
1681199932,1.04,0.128
1681199932,1.037,0.124
1681199932,1.037,0.127
1681199932,1.036,0.127
1681199932,1.036,0.121
1681199932,1.037,0.121
1681199932,1.036,0.119
1681199932,1.036,0.127
1681199932,1.036,0.125
1681199932,1.038,0.127
1681199932,1.038,0.116
1681199932,1.035,0.126
1681199932,1.034,0.12
1681199933,1.038,0.122
1681199933,1.038,0.121
1681199933,1.038,0.119
1681199933,1.036,0.113
1681199933,1.037,0.117
1681199933,1.042,0.121
1681199933,1.037,0.123
1681199933,1.038,0.125
1681199933,1.036,0.12
1681199933,1.039,0.129
1681199933,1.036,0.126
1681199933,1.037,0.114
1681199933,1.038,0.118
1681199933,1.04,0.124
1681199933,1.036,0.124
1681199933,1.035,0.117
1681199933,1.035,0.125
1681199933,1.035,0.12
1681199933,1.04,0.127
1681199933,1.036,0.124
1681199934,1.038,0.122
1681199934,1.035,0.124
1681199934,1.037,0.132
1681199934,1.036,0.116
1681199934,1.04,0.128
1681199934,1.038,0.115
1681199934,1.037,0.122
1681199934,1.036,0.121
1681199934,1.038,0.105
1681199934,1.037,0.123
1681199934,1.035,0.119
1681199934,1.033,0.114
1681199934,1.037,0.125
1681199934,1.037,0.122
1681199934,1.035,0.125
1681199934,1.033,0.124
1681199934,1.038,0.129
1681199934,1.036,0.117
1681199934,1.036,0.119
1681199934,1.039,0.123
1681199935,1.036,0.121
1681199935,1.037,0.12
1681199935,1.037,0.116
1681199935,1.036,0.118
1681199935,1.035,0.121
1681199935,1.036,0.122
1681199935,1.032,0.122
1681199935,1.036,0.118
1681199935,1.04,0.119
1681199935,1.037,0.114
1681199935,1.032,0.117
1681199935,1.037,0.112
1681199935,1.036,0.105
1681199935,1.034,0.121
1681199935,1.035,0.124
1681199935,1.036,0.124
1681199935,1.037,0.119
1681199935,1.036,0.115
1681199935,1.035,0.118
1681199935,1.034,0.12
1681199936,1.034,0.119
1681199936,1.037,0.119
1681199936,1.037,0.12
1681199936,1.036,0.127
1681199936,1.035,0.124
1681199936,1.035,0.127
1681199936,1.034,0.128
1681199936,1.036,0.119
1681199936,1.035,0.125
1681199936,1.038,0.123
1681199936,1.038,0.117
1681199936,1.036,0.123
1681199936,1.036,0.118
1681199936,1.035,0.125
1681199936,1.037,0.122
1681199936,1.037,0.127
1681199936,1.035,0.116
1681199936,1.035,0.125
1681199936,1.035,0.114
1681199936,1.033,0.115
1681199937,1.036,0.117
1681199937,1.034,0.114
1681199937,1.039,0.129
1681199937,1.036,0.122
1681199937,1.035,0.128
1681199937,1.036,0.125
1681199937,1.034,0.125
1681199937,1.035,0.123
1681199937,1.037,0.12
1681199937,1.038,0.122
1681199937,1.034,0.119
1681199937,1.036,0.114
1681199937,1.034,0.127
1681199937,1.035,0.12
1681199937,1.035,0.119
1681199937,1.034,0.124
1681199937,1.037,0.12
1681199937,1.037,0.119
1681199937,1.032,0.119
1681199937,1.033,0.121
1681199938,1.035,0.124
1681199938,1.033,0.116
1681199938,1.037,0.124
1681199938,1.036,0.118
1681199938,1.036,0.122
1681199938,1.038,0.121
1681199938,1.036,0.115
1681199938,1.035,0.129
1681199938,1.034,0.126
1681199938,1.034,0.122
1681199938,1.035,0.121
1681199938,1.035,0.12
1681199938,1.038,0.126
1681199938,1.036,0.119
1681199938,1.035,0.128
1681199938,1.036,0.119
1681199938,1.034,0.117
1681199938,1.036,0.118
1681199938,1.035,0.125
1681199938,1.036,0.127
1681199939,1.034,0.127
1681199939,1.038,0.123
1681199939,1.035,0.116
1681199939,1.034,0.118
1681199939,1.034,0.117
1681199939,1.034,0.124
1681199939,1.035,0.129
1681199939,1.036,0.124
1681199939,1.041,0.117
1681199939,1.035,0.124
1681199939,1.033,0.125
1681199939,1.036,0.131
1681199939,1.035,0.131
1681199939,1.035,0.122
1681199939,1.035,0.125
1681199939,1.036,0.115
1681199939,1.038,0.123
1681199939,1.037,0.118
1681199939,1.036,0.124
1681199939,1.039,0.12
1681199940,1.035,0.12
1681199940,1.032,0.12
1681199940,1.035,0.121
1681199940,1.033,0.119
1681199940,1.035,0.12
1681199940,1.039,0.122
1681199940,1.034,0.129
1681199940,1.037,0.127
1681199940,1.036,0.12
1681199940,1.033,0.113
1681199940,1.036,0.118
1681199940,1.037,0.116
1681199940,1.035,0.119
1681199940,1.038,0.13
1681199940,1.037,0.12
